                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.241,                 4.7442,                 1.7658,                0.29404,                0.25385,                0.19804,                0.06232,                 2.3667,                 3.9461,                 2.1392,             0.00066281,             0.00066281,             0.00066281
                      2,                 2.2008,                 3.0536,                 1.7977,                0.47509,                0.10165,                 0.1089,                0.03605,                 2.4132,                 3.6345,                  1.977,              0.0013032,              0.0013032,              0.0013032
                      3,                 2.2384,                 2.5899,                 1.8175,                 0.3328,                0.25231,                0.20538,                0.06159,                  2.542,                 2.7032,                 2.0755,              0.0019171,              0.0019171,              0.0019171
                      4,                  2.218,                 2.3915,                 1.7968,                 0.3305,                0.25385,                0.20808,                0.06996,                 2.3469,                 2.8384,                 1.9122,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1687,                 2.2869,                 1.7324,                0.46676,                0.39846,                0.37938,                0.12916,                 2.2986,                 2.4495,                 1.9019,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.1408,                 2.1789,                 1.7063,                0.45505,                0.33692,                0.34348,                0.11594,                 2.2786,                 2.2844,                 1.8815,               0.001802,               0.001802,               0.001802
                      7,                  2.101,                 2.1918,                 1.6968,                0.55464,                0.39846,                0.41064,                0.14476,                 2.2293,                 2.2352,                 1.8346,              0.0017624,              0.0017624,              0.0017624
                      8,                  2.079,                 2.1297,                 1.6726,                0.42921,                0.39692,                 0.3658,                0.13046,                  2.209,                 2.1909,                 1.8068,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0515,                 2.0732,                 1.6602,                0.52973,                0.42805,                0.43972,                0.15614,                 2.1908,                 1.9556,                  1.762,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.0394,                 2.0295,                 1.6235,                 0.4805,                0.34769,                0.33905,                0.12328,                 2.2579,                 2.2786,                 1.8922,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0392,                 1.9648,                 1.6138,                0.41961,                0.36308,                0.33471,                0.11618,                 2.2302,                 2.1477,                  1.793,               0.001604,               0.001604,               0.001604
                     12,                 2.0137,                  1.934,                 1.6124,                0.41026,                0.39231,                0.33743,                0.11926,                 2.1906,                 2.1612,                 1.7062,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0068,                 1.9411,                 1.6054,                0.49567,                    0.4,                0.40051,                0.14806,                 2.1651,                 2.0287,                 1.7489,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0109,                 1.9084,                 1.6066,                0.49136,                0.41077,                0.38754,                0.14479,                 2.0766,                 2.0524,                 1.7175,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9888,                 1.8844,                 1.5892,                0.57137,                0.43476,                0.46101,                0.16686,                 2.1632,                 1.9706,                 1.7557,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9738,                 1.8511,                 1.5952,                0.53956,                0.37846,                0.39322,                0.14488,                 2.1602,                 2.0786,                 1.7559,               0.001406,               0.001406,               0.001406
                     17,                 1.9653,                 1.8186,                 1.5733,                0.56038,                   0.42,                0.43422,                0.16638,                 2.1271,                 1.9175,                  1.703,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.957,                  1.797,                  1.555,                0.51912,                0.45077,                0.43643,                0.15709,                 2.1496,                 1.9788,                 1.7337,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9506,                 1.7846,                 1.5581,                0.56545,                0.39692,                0.41943,                0.15981,                  2.105,                 1.9064,                 1.6779,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.9326,                 1.7629,                 1.5508,                0.50555,                0.40154,                0.41262,                0.15918,                 2.0859,                 1.9388,                 1.7042,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.9181,                 1.7199,                 1.5381,                 0.5101,                0.47896,                 0.4513,                0.16958,                 2.0829,                 1.9421,                 1.6936,               0.001208,               0.001208,               0.001208
                     22,                 1.9252,                 1.7361,                 1.5267,                0.52661,                   0.44,                   0.46,                0.18068,                 2.0636,                 1.8222,                 1.6869,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.9126,                 1.6848,                 1.5286,                0.58446,                0.43927,                0.46849,                0.17335,                 2.0656,                 1.8609,                 1.6823,              0.0011288,              0.0011288,              0.0011288
                     24,                  1.897,                 1.6722,                 1.5079,                0.61824,                0.47692,                0.51603,                0.18672,                 2.1534,                 1.7852,                 1.6989,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.8943,                 1.6643,                 1.5123,                0.61134,                0.44154,                0.47181,                0.17761,                 2.1136,                 1.7937,                 1.7337,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.8951,                   1.67,                 1.5182,                0.60798,                0.44615,                0.48236,                0.17811,                 2.1279,                 1.8137,                 1.7039,                0.00101,                0.00101,                0.00101
                     27,                 1.8876,                 1.6602,                 1.5077,                0.53328,                0.46769,                0.47344,                0.18146,                 2.0966,                  1.762,                 1.6722,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.8705,                 1.6319,                 1.5037,                0.54138,                0.46308,                0.46807,                0.17319,                 2.0683,                 1.7923,                 1.6658,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.8639,                 1.5917,                 1.4896,                 0.5991,                0.48923,                0.51963,                 0.1993,                  2.082,                 1.7464,                 1.6778,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.8664,                 1.5649,                 1.4833,                0.55488,                0.46308,                0.47827,                0.17679,                 2.0757,                  1.787,                 1.6535,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.8387,                 1.5626,                 1.4891,                0.62366,                0.45892,                0.49033,                 0.1827,                 2.0856,                 1.7371,                 1.6722,               0.000812,               0.000812,               0.000812
                     32,                 1.8507,                 1.5477,                 1.4714,                0.57088,                 0.4994,                0.51648,                0.19686,                 2.1339,                 1.6901,                 1.7005,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.8404,                 1.5309,                 1.4866,                0.58488,                0.53077,                0.52707,                0.19181,                 2.0815,                  1.673,                 1.6667,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.8306,                  1.489,                 1.4562,                0.60096,                0.50973,                0.53796,                0.20464,                 2.0812,                 1.6509,                 1.6812,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.8465,                 1.4894,                 1.4531,                 0.6188,                0.50197,                 0.5375,                0.20493,                 2.1029,                 1.6635,                 1.6933,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.8154,                 1.4687,                 1.4494,                0.61551,                0.50462,                0.54282,                0.20143,                 2.1017,                 1.6346,                 1.6727,               0.000614,               0.000614,               0.000614
                     37,                 1.7851,                 1.4683,                 1.4421,                0.58094,                   0.54,                0.53357,                0.20004,                 2.1027,                 1.6245,                 1.7058,              0.0005744,              0.0005744,              0.0005744
                     38,                   1.82,                 1.4549,                 1.4446,                0.63129,                0.50308,                0.53341,                0.20259,                 2.0956,                 1.6412,                 1.6808,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7927,                  1.403,                 1.4248,                0.61372,                 0.5402,                0.55832,                0.20687,                 2.0819,                  1.607,                 1.6673,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.7798,                 1.4015,                 1.4266,                0.65612,                0.48923,                0.54513,                0.20542,                 2.1155,                  1.653,                 1.6868,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.793,                 1.3728,                 1.4419,                0.65565,                0.50308,                0.53607,                0.20334,                 2.1264,                 1.6148,                 1.6898,               0.000416,               0.000416,               0.000416
                     42,                 1.7624,                 1.3165,                 1.4192,                0.65858,                0.51077,                0.55406,                0.20381,                 2.1252,                 1.6078,                 1.7021,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.7622,                 1.2847,                 1.4276,                0.65367,                0.51231,                0.54717,                0.20517,                 2.0846,                 1.6212,                 1.6703,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7526,                 1.2821,                 1.4216,                0.63467,                0.53988,                0.56244,                0.20993,                 2.0851,                 1.5833,                 1.6619,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.7367,                 1.2601,                 1.4111,                0.64921,                 0.5296,                0.57263,                0.21408,                 2.1003,                 1.5636,                 1.6983,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7358,                 1.2393,                 1.4064,                 0.6671,                0.53026,                0.56601,                0.21325,                 2.1199,                 1.5774,                 1.6971,               0.000218,               0.000218,               0.000218
                     47,                 1.7079,                 1.2061,                 1.3976,                0.67476,                   0.54,                0.58551,                0.21893,                 2.1186,                 1.5604,                 1.7118,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.7026,                 1.1872,                 1.3935,                0.68725,                0.54154,                0.57917,                0.21926,                 2.1064,                 1.5429,                  1.683,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6963,                 1.1972,                 1.3775,                0.67874,                0.53538,                0.58022,                0.21379,                 2.1236,                 1.5329,                 1.6897,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.6859,                 1.1872,                 1.3812,                 0.6707,                0.54836,                0.57729,                0.21418,                 2.1174,                 1.5387,                 1.7018,               5.96e-05,               5.96e-05,               5.96e-05
