               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045909,            0.014186,          0.00024071,             0.80894,             0.21231,             0.21423,            0.070514,            0.058565,            0.013425,          0.00055139,             0.00307,             0.00307,             0.00307
                  37,            0.045914,            0.014022,          0.00026436,             0.79026,             0.22077,             0.21517,            0.071606,            0.060759,            0.012523,          0.00052309,            0.002872,            0.002872,            0.002872
                  38,            0.045014,              0.0142,          0.00016842,             0.81531,             0.20923,              0.2222,            0.075184,            0.057928,            0.012631,          0.00074487,            0.002674,            0.002674,            0.002674
                  39,            0.044937,            0.013893,          0.00018552,             0.80654,             0.22308,             0.22805,            0.076449,            0.059046,            0.011902,          0.00056421,            0.002476,            0.002476,            0.002476
                  40,             0.04451,            0.013788,          0.00016223,              0.7791,             0.22692,             0.22183,            0.075452,            0.058105,            0.013032,           0.0004058,            0.002278,            0.002278,            0.002278
                  41,            0.044319,            0.013739,          0.00014976,             0.78112,             0.22462,             0.21328,            0.071535,            0.058254,            0.012074,           0.0005252,             0.00208,             0.00208,             0.00208
                  42,             0.04385,            0.013335,          0.00012868,             0.79892,             0.23462,             0.23638,            0.079022,            0.059192,            0.012442,          0.00050498,            0.001882,            0.001882,            0.001882
                  43,            0.043412,            0.013291,          0.00012603,             0.78385,             0.23462,             0.22078,            0.075945,             0.05994,            0.012776,          0.00052902,            0.001684,            0.001684,            0.001684
                  44,            0.043681,            0.013464,          0.00016726,             0.80988,                0.23,             0.22664,            0.077193,            0.059446,            0.012007,          0.00061328,            0.001486,            0.001486,            0.001486
                  45,            0.043237,            0.013474,          0.00015876,             0.78699,             0.22385,             0.20869,            0.071958,            0.060946,            0.012702,           0.0005466,            0.001288,            0.001288,            0.001288
                  46,            0.042676,            0.013557,          0.00013163,             0.79039,             0.22385,               0.218,             0.07736,            0.058739,            0.012362,          0.00041362,             0.00109,             0.00109,             0.00109
                  47,            0.042414,             0.01346,          0.00010614,             0.81782,             0.23692,             0.24137,            0.081017,            0.057629,            0.012545,          0.00044911,            0.000892,            0.000892,            0.000892
                  48,            0.041882,            0.013184,          0.00012802,             0.79273,             0.24335,             0.24134,            0.082307,            0.058453,            0.012225,          0.00048864,            0.000694,            0.000694,            0.000694
                  49,            0.041821,             0.01308,          0.00012552,             0.78352,             0.24784,             0.23869,            0.079838,            0.059368,            0.012501,           0.0005159,            0.000496,            0.000496,            0.000496
