                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3357,                 3.6713,                 1.6158,                0.00402,                0.50462,                0.00436,                0.00155,                  2.353,                 4.6986,                  1.603,             0.00065152,             0.00065152,             0.00065152
                      2,                 2.2354,                 2.6962,                 1.5718,                 0.0105,                0.04154,                 0.0068,                0.00261,                 2.6303,                  5.236,                 2.1671,              0.0012921,              0.0012921,              0.0012921
                      3,                 2.3304,                 2.4534,                 1.6162,                 0.0428,                0.02615,                0.00431,                0.00106,                 3.2494,                 4.9129,                 2.1832,              0.0019062,              0.0019062,              0.0019062
                      4,                 2.3384,                 2.2879,                  1.639,                0.09074,                0.03846,                 0.0206,                0.00645,                 2.8582,                 5.9245,                 2.1582,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.3126,                 2.2156,                 1.6347,                0.35354,                0.29846,                0.24084,                0.07026,                 2.5333,                 2.9314,                 1.6535,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.2165,                 2.0799,                 1.5699,                0.19837,                0.15385,                 0.0851,                0.02886,                 2.4426,                 3.7819,                 1.7461,               0.001802,               0.001802,               0.001802
                      7,                 2.1449,                 1.9902,                 1.5279,                 0.2896,                0.21692,                0.14143,                0.03707,                 2.7056,                 3.1628,                 1.6354,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1606,                 1.9557,                 1.5277,                0.43593,                0.35846,                0.29818,                0.10335,                 2.2971,                 2.6685,                 1.5558,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.1119,                 1.8768,                 1.5009,                 0.4183,                0.34615,                0.29022,                0.09911,                 2.3554,                 2.1842,                 1.5367,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1192,                 1.8909,                 1.5078,                0.40957,                0.28815,                 0.2432,                0.07799,                 2.4121,                 2.2823,                 1.5856,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0939,                 1.8437,                 1.4769,                0.36616,                0.35283,                0.29264,                 0.1058,                 2.3171,                 1.9958,                 1.5033,               0.001604,               0.001604,               0.001604
                     12,                 2.0647,                 1.7827,                 1.4635,                0.46741,                0.36154,                 0.3312,                0.10982,                 2.3425,                 2.0597,                 1.5788,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0731,                 1.7642,                 1.4555,                0.52011,                0.39846,                0.39526,                0.13806,                 2.3202,                 1.9181,                 1.5148,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0648,                 1.7604,                 1.4442,                0.42766,                0.31153,                 0.2858,                 0.1032,                 2.2543,                 2.3222,                 1.4863,              0.0014852,              0.0014852,              0.0014852
