                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 2.0531,                 1.7251,                 1.4305,                0.47249,                0.40462,                 0.3975,                0.13348,                 2.2491,                 1.8988,                 1.4516,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.0195,                 1.7055,                 1.4123,                0.52605,                0.40462,                0.40886,                0.14708,                 2.2382,                 1.8357,                 1.4536,               0.001406,               0.001406,               0.001406
                     17,                 1.9906,                 1.6802,                 1.4089,                0.61178,                0.45337,                0.48046,                0.16169,                  2.274,                 1.7036,                 1.4607,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.0104,                 1.6748,                 1.3907,                0.53136,                0.40154,                0.42017,                0.15328,                 2.1949,                 1.7559,                 1.4339,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.0181,                 1.6565,                 1.4123,                0.51735,                0.45538,                0.43576,                0.15387,                 2.2162,                 1.6511,                 1.4567,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.9761,                 1.5784,                 1.4041,                 0.5502,                0.39538,                0.44759,                0.15534,                 2.2635,                 1.7405,                 1.4578,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.9626,                 1.5692,                 1.3746,                0.53453,                0.37454,                0.40134,                0.14484,                 2.1974,                 1.7575,                 1.4401,               0.001208,               0.001208,               0.001208
                     22,                 1.9479,                 1.5554,                 1.3783,                0.50238,                0.43385,                0.40715,                0.14245,                 2.2651,                   1.77,                 1.4691,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.9466,                 1.5767,                 1.3828,                0.52571,                0.46154,                0.46296,                0.16417,                 2.2119,                 1.6096,                 1.4313,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.9408,                 1.5595,                 1.3586,                 0.5784,                0.44462,                  0.435,                0.15999,                 2.2058,                 1.6674,                 1.4231,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.919,                 1.5103,                 1.3495,                0.56361,                0.46296,                0.47486,                 0.1637,                 2.2481,                 1.7226,                 1.4849,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.9235,                 1.5119,                 1.3435,                0.47477,                0.40923,                0.37438,                0.12988,                  2.223,                 1.8112,                  1.426,                0.00101,                0.00101,                0.00101
                     27,                 1.9016,                 1.4861,                 1.3459,                0.60735,                   0.48,                0.49639,                0.17789,                 2.1889,                 1.5739,                 1.4191,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.8853,                 1.4406,                 1.3344,                0.60554,                0.47471,                0.47593,                0.17353,                  2.191,                 1.5931,                 1.4206,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.8698,                 1.4523,                 1.3405,                0.59829,                0.46923,                0.49928,                0.17984,                 2.2195,                 1.5413,                 1.4447,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.8711,                  1.418,                 1.3184,                0.52962,                0.47692,                0.46129,                0.15852,                 2.2424,                 1.6168,                 1.4442,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.8449,                 1.4138,                 1.3208,                0.58538,                0.46264,                0.46342,                0.16375,                 2.2724,                 1.5402,                 1.4715,               0.000812,               0.000812,               0.000812
                     32,                 1.8208,                 1.3568,                 1.2929,                0.58626,                0.42769,                 0.4716,                0.17644,                 2.1754,                 1.6063,                 1.4022,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.8445,                 1.3561,                 1.2907,                0.61898,                0.44308,                0.48677,                0.18119,                 2.1684,                 1.5728,                 1.4302,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.8192,                 1.3689,                 1.3134,                0.49869,                0.44154,                0.42371,                0.15195,                 2.2538,                  1.668,                 1.4386,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.8447,                 1.3518,                 1.2911,                0.54507,                0.50321,                0.48613,                0.17099,                  2.216,                 1.5564,                 1.4431,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.837,                 1.3252,                 1.2929,                0.54855,                0.46734,                0.46698,                0.16644,                 2.1987,                 1.5779,                 1.4444,               0.000614,               0.000614,               0.000614
                     37,                 1.7787,                 1.2897,                 1.2841,                0.60233,                0.50769,                0.50942,                0.18149,                 2.2121,                 1.5151,                 1.4394,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.8054,                 1.2922,                 1.2886,                0.67871,                 0.4615,                0.52678,                0.19181,                 2.1698,                 1.5079,                 1.4376,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7801,                  1.284,                 1.2724,                0.61334,                0.49846,                0.52428,                0.19663,                 2.1784,                 1.4793,                 1.4176,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.7813,                 1.2547,                 1.2536,                0.61963,                0.46462,                0.48517,                0.18408,                 2.1681,                 1.5159,                 1.4315,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.7784,                 1.2549,                 1.2737,                0.60632,                0.50923,                0.51223,                0.18735,                 2.2138,                 1.4567,                 1.4671,               0.000416,               0.000416,               0.000416
                     42,                 1.7914,                 1.2491,                 1.2454,                0.55873,                0.50923,                0.48876,                0.17667,                 2.2066,                 1.4852,                 1.4462,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.7582,                  1.156,                  1.251,                0.63467,                0.48462,                0.50518,                0.19433,                  2.154,                 1.4886,                  1.431,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7139,                 1.1375,                 1.2296,                0.61803,                0.51846,                0.50103,                0.18388,                 2.1761,                 1.4595,                 1.4441,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.6923,                 1.1006,                 1.2325,                0.65243,                0.53077,                0.54404,                0.19585,                 2.1671,                 1.4251,                 1.4447,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7035,                 1.0727,                 1.2215,                0.63905,                    0.5,                0.51791,                0.18839,                 2.1939,                 1.4542,                 1.4516,               0.000218,               0.000218,               0.000218
                     47,                 1.6733,                 1.0843,                 1.2051,                0.61021,                0.52505,                0.50403,                0.18627,                  2.179,                   1.45,                 1.4493,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.6675,                 1.0678,                 1.2143,                0.62704,                0.52923,                0.51512,                0.18875,                 2.1802,                 1.4169,                 1.4699,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6691,                 1.0848,                 1.1938,                0.63712,                0.54615,                0.53522,                0.19302,                 2.1836,                   1.39,                 1.4681,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.6346,                 1.0439,                 1.1932,                0.64385,                0.52009,                0.52848,                0.19532,                 2.1754,                 1.3888,                 1.4618,               5.96e-05,               5.96e-05,               5.96e-05
